gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,or,n1553,"n1462, n1461",2,0,0,0,4,2,2,4,['g0'],Not_Trojan
g1,nor,n1393,"n353, n1369",2,0,0,0,3,4,4,3,['g1'],Not_Trojan
g2,nor,n677,"n97, n610",2,0,0,0,10,2,2,3,['g2'],Not_Trojan
g3,nor,n587,"n433, n3",2,0,0,0,1,3,3,3,['g3'],Not_Trojan
g4,nor,n919,"n322, n103",2,0,0,0,11,7,2,3,['g4'],Not_Trojan
g5,or,n1192,"n1097, n680",2,0,0,0,9,7,3,5,['g5'],Not_Trojan
g6,not,n281,n5[13],1,0,0,1,1,9,4,-1,['g6'],Not_Trojan
g7,nor,n795,"n402, n99",2,0,0,0,10,2,2,3,['g7'],Not_Trojan
g8,or,n541,"n4[9], n4[8]",2,0,0,1,1,8,8,-1,['g8'],Not_Trojan
g9,nor,n1817,"n193, n1446",2,0,0,0,2,8,2,4,['g9'],Not_Trojan
g10,or,n535,"n4[3], n4[2]",2,0,0,1,1,9,8,-1,['g10'],Not_Trojan
g11,not,n214,n5[2],1,0,0,1,1,9,4,-1,['g11'],Not_Trojan
g12,or,n1275,"n798, n721",2,0,0,0,11,1,1,0,['g12'],Not_Trojan
g13,nor,n1667,"n1107, n1445",2,0,0,0,3,7,2,5,['g13'],Not_Trojan
g14,nor,n1733,"n452, n1440",2,0,0,0,7,7,2,3,['g14'],Not_Trojan
g15,not,n332,n20[23],1,0,0,1,10,3,3,2,['g15'],Not_Trojan
g16,not,n304,n24[7],1,0,0,1,9,3,3,2,['g16'],Not_Trojan
g17,or,n1301,"n1099, n995",2,0,0,0,10,1,1,0,['g17'],Not_Trojan
g18,or,n1963,"n567, n1516",2,0,0,0,2,2,2,4,['g18'],Not_Trojan
g19,nor,n957,"n409, n102",2,0,0,0,10,2,2,3,['g19'],Not_Trojan
g20,dff,n22[15],"n2058, 1'b1, n0, n1882",4,1,1,1,5,6,0,1,['g20'],Not_Trojan
g21,nor,n1769,"n468, n1444",2,0,0,0,7,7,2,3,['g21'],Not_Trojan
g22,nor,n709,"n559, n642",2,0,0,0,8,2,2,3,['g22'],Not_Trojan
g23,not,n218,n28[3],1,0,0,1,6,4,3,2,['g23'],Not_Trojan
g24,or,n876,"n171, n640",2,0,0,0,2,8,3,4,['g24'],Not_Trojan
g25,or,n1176,"n736, n1085",2,0,0,0,7,5,1,0,['g25'],Not_Trojan
g26,not,n431,n9[17],1,0,0,1,5,4,4,2,['g26'],Not_Trojan
g27,nor,n680,"n2061, n106",2,0,0,0,10,8,4,4,['g27'],Not_Trojan
g28,nor,n803,"n519, n99",2,0,0,0,10,2,2,3,['g28'],Not_Trojan
g29,not,n105,n104,1,0,0,0,9,7,3,4,['g29'],Not_Trojan
g30,or,n1854,"n1675, n1594",2,0,0,0,4,7,1,0,['g30'],Not_Trojan
g31,dff,n24[11],"n2058, 1'b1, n0, n1134",4,1,1,1,9,4,0,1,['g31'],Not_Trojan
g32,nor,n986,"n355, n101",2,0,0,0,8,3,3,3,['g32'],Not_Trojan
g33,nor,n1337,"n860, n1315",2,0,0,0,8,9,3,5,['g33'],Not_Trojan
g34,not,n196,n5[25],1,0,0,1,1,9,4,-1,['g34'],Not_Trojan
g35,nor,n963,"n330, n103",2,0,0,0,6,6,2,3,['g35'],Not_Trojan
g36,nor,n1616,"n1117, n1443",2,0,0,0,3,8,2,5,['g36'],Not_Trojan
g37,or,n1252,"n940, n778",2,0,0,0,11,1,1,0,['g37'],Not_Trojan
g38,dff,n13[20],"n2058, 1'b1, n0, n1222",4,1,1,1,12,0,0,1,['g38'],Not_Trojan
g39,or,n1920,"n1728, n1641",2,0,0,0,4,6,1,0,['g39'],Not_Trojan
g40,not,n258,n28[11],1,0,0,1,6,4,3,2,['g40'],Not_Trojan
g41,or,n1271,"n949, n1004",2,0,0,0,11,1,1,0,['g41'],Not_Trojan
g42,nor,n2065,"n61, n62",2,0,0,0,11,20,4,3,['g42'],Not_Trojan
g43,or,n2115,"n2110, n2112",2,0,0,0,11,9,9,4,['g43'],Trojan
g44,or,n1892,"n1699, n1621",2,0,0,0,4,7,1,0,['g44'],Not_Trojan
g45,or,n1554,"n1464, n1463",2,0,0,0,4,3,3,4,['g45'],Not_Trojan
g46,nor,n2072,"n85, n86",2,0,0,0,-1,14,1,0,['g46'],Not_Trojan
g47,not,n369,n25[30],1,0,0,1,5,5,3,2,['g47'],Not_Trojan
g48,nor,n938,"n219, n99",2,0,0,0,10,2,2,3,['g48'],Not_Trojan
g49,or,n879,"n239, n640",2,0,0,0,2,8,3,4,['g49'],Not_Trojan
g50,not,n251,n28[24],1,0,0,1,6,4,3,2,['g50'],Not_Trojan
g51,nor,n1067,"n159, n106",2,0,0,0,7,6,2,3,['g51'],Not_Trojan
g52,dff,n30[28],"n2058, 1'b1, n0, n1901",4,1,1,1,5,5,0,1,['g52'],Trojan
g53,or,n1996,"n1775, n1836",2,0,0,0,3,7,1,0,['g53'],Not_Trojan
g54,not,n490,n30[7],1,0,0,1,6,4,3,2,['g54'],Not_Trojan
g55,or,n1322,"n533, n712",2,0,0,0,11,8,4,3,['g55'],Not_Trojan
g56,nor,n1604,"n878, n1443",2,0,0,0,3,8,2,5,['g56'],Not_Trojan
g57,dff,n22[13],"n2058, 1'b1, n0, n1884",4,1,1,1,5,6,0,1,['g57'],Not_Trojan
g58,nor,n1061,"n163, n105",2,0,0,0,7,6,2,3,['g58'],Not_Trojan
g59,or,n1869,"n1338, n1828",2,0,0,0,3,8,2,5,['g59'],Not_Trojan
g60,nor,n1603,"n879, n1443",2,0,0,0,3,8,2,5,['g60'],Not_Trojan
g61,nor,n1477,"n498, n1370",2,0,0,0,3,3,3,3,['g61'],Not_Trojan
g62,nor,n1032,"n363, n105",2,0,0,0,7,6,2,3,['g62'],Not_Trojan
g63,not,n176,n9[9],1,0,0,1,5,4,4,2,['g63'],Not_Trojan
g64,dff,n30[24],"n2058, 1'b1, n0, n1905",4,1,1,1,5,5,0,1,['g64'],Trojan
