gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout,gate_numbers,label
g0,not,n706,n7[11],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g0'],Not_Trojan
g1,not,n705,n7[5],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g1'],Not_Trojan
g2,not,n704,n7[10],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g2'],Not_Trojan
g3,not,n703,n7[8],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g3'],Not_Trojan
g4,not,n702,n7[2],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g4'],Not_Trojan
g5,not,n701,n7[9],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g5'],Not_Trojan
g6,not,n700,n7[4],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g6'],Not_Trojan
g7,not,n699,n7[1],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g7'],Not_Trojan
g8,not,n698,n7[7],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g8'],Not_Trojan
g9,not,n697,n7[0],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g9'],Not_Trojan
g10,not,n696,n7[12],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g10'],Not_Trojan
g11,not,n695,n7[6],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g11'],Not_Trojan
g12,not,n694,n7[3],1,0,0,1,5,3,-1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,['g12'],Not_Trojan
g13,xnor,n5[3],"n688, n8[3]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,35,16,0,0,2,0,['g13'],Not_Trojan
g14,xnor,n4[10],"n687, n9[10]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,77,58,0,0,2,0,['g14'],Not_Trojan
g15,xnor,n4[9],"n692, n9[9]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,71,52,0,0,2,0,['g15'],Not_Trojan
g16,xnor,n4[6],"n691, n9[6]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,53,34,0,0,2,0,['g16'],Not_Trojan
g17,xnor,n4[5],"n693, n9[5]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,47,28,0,0,2,0,['g17'],Not_Trojan
g18,xnor,n5[11],"n686, n8[11]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,10,0,67,52,0,1,2,0,['g18'],Not_Trojan
g19,xnor,n5[10],"n687, n8[10]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,77,58,0,0,2,0,['g19'],Not_Trojan
g20,xnor,n5[9],"n692, n8[9]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,71,52,0,0,2,0,['g20'],Not_Trojan
g21,xnor,n5[8],"n689, n8[8]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,65,46,0,0,2,0,['g21'],Not_Trojan
g22,xnor,n4[8],"n689, n9[8]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,65,46,0,0,2,0,['g22'],Not_Trojan
g23,xnor,n5[7],"n684, n8[7]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,59,40,0,0,2,0,['g23'],Not_Trojan
g24,xnor,n5[6],"n691, n8[6]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,53,34,0,0,2,0,['g24'],Not_Trojan
g25,xnor,n5[5],"n693, n8[5]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,47,28,0,0,2,0,['g25'],Not_Trojan
g26,xnor,n5[4],"n690, n8[4]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,41,22,0,0,2,0,['g26'],Not_Trojan
g27,xnor,n4[4],"n690, n9[4]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,12,0,41,22,0,0,2,0,['g27'],Not_Trojan
