gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,dff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,dff_gates_fanout,and_gates_prelevel,or_gates_prelevel,nand_gates_prelevel,nor_gates_prelevel,not_gates_prelevel,buf_gates_prelevel,xor_gates_prelevel,xnor_gates_prelevel,dff_gates_prelevel,and_gates_postlevel,or_gates_postlevel,nand_gates_postlevel,nor_gates_postlevel,not_gates_postlevel,buf_gates_postlevel,xor_gates_postlevel,xnor_gates_postlevel,dff_gates_postlevel,gate_numbers,label
g0,dff,n10[2],"n1, 1'b1, n0, n25[2]",4,1,1,1,5,0,0,1,0,84,0,337,506,0,74,368,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g0'],Not_Trojan
g1,not,n29,n12[2],1,0,0,1,2,5,5,2,0,0,0,0,1,0,0,0,0,0,39,0,1091,270,0,69,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,['g1'],Not_Trojan
g2,nor,n86,"n11[10], n53",2,0,0,1,2,11,11,2,0,0,0,1,1,0,0,1,0,0,1,0,50,11,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,['g2'],Not_Trojan
g3,not,n269,n13[2],1,0,0,1,3,3,3,3,0,2,0,10,17,0,2,10,0,0,0,0,38,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g3'],Trojan
g4,nor,n165,"n16[4], n137",2,0,0,1,2,5,5,2,0,0,0,3,4,0,1,3,0,0,0,0,46,11,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,['g4'],Not_Trojan
g5,xor,n13[2],"n15[2], n239",2,0,0,1,2,3,3,2,0,2,0,10,16,0,2,10,0,0,0,0,40,10,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,['g5'],Not_Trojan
g6,or,n225,"n185, n208",2,0,0,0,3,8,8,3,0,2,0,6,9,0,2,7,0,0,5,0,93,23,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g6'],Not_Trojan
g7,nor,n25[7],"n288, n289",2,0,0,1,6,1,1,0,0,122,0,497,730,0,118,534,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['g7'],Trojan
g8,not,n259,n13[7],1,0,0,1,5,3,3,5,0,5,0,21,36,0,6,24,0,0,0,0,18,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g8'],Trojan
g9,not,n241,n240,1,0,0,0,6,8,8,6,0,2,0,8,17,0,1,11,0,0,4,0,93,24,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g9'],Not_Trojan
g10,not,n255,n12[8],1,0,0,1,2,6,6,2,0,0,0,0,1,0,0,0,0,0,1,0,17,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,['g10'],Not_Trojan
g11,not,n63,n64,1,0,0,0,3,5,5,3,0,0,0,0,1,0,0,1,0,0,23,0,483,119,0,25,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,['g11'],Not_Trojan
g12,nor,n273,"n13[2], n271",2,0,0,1,3,2,2,3,0,42,0,168,252,0,37,184,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g12'],Trojan
g13,not,n254,n11[3],1,0,0,1,2,9,9,2,0,0,0,0,1,0,0,0,0,0,19,0,489,122,0,20,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,['g13'],Not_Trojan
g14,buf,n10[9],1'b0,1,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g14'],Not_Trojan
g15,nor,n279,"n13[4], n277",2,0,0,1,3,2,2,3,0,45,0,187,281,0,42,200,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g15'],Trojan
g16,xnor,n75,"n20[0], n21[0]",2,0,0,1,2,7,7,2,0,0,0,0,0,0,0,1,0,0,35,0,752,185,0,38,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,['g16'],Not_Trojan
g17,dff,n11[11],"n1, 1'b1, n0, n3[11]",4,1,1,1,1,14,0,1,0,0,0,0,0,0,0,0,0,0,15,0,200,47,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g17'],Not_Trojan
g18,nor,n229,"n165, n219",2,0,0,0,3,4,4,3,0,1,0,7,9,0,2,6,0,0,0,0,45,11,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,['g18'],Not_Trojan
g19,not,n32,n12[4],1,0,0,1,2,6,6,2,0,0,0,0,1,0,0,0,0,0,2,0,93,23,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,['g19'],Not_Trojan
g20,xnor,n100,"n63, n11[6]",2,0,0,1,2,11,11,2,0,0,0,0,1,0,0,2,0,0,13,0,282,71,0,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,['g20'],Not_Trojan
g21,not,n135,n134,1,0,0,0,4,7,7,4,0,0,0,2,4,0,1,3,0,0,3,0,109,27,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,['g21'],Not_Trojan
g22,nor,n288,"n13[7], n286",2,0,0,1,5,2,2,5,0,61,0,248,364,0,59,267,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g22'],Trojan
g23,nor,n230,"n188, n199",2,0,0,0,5,8,8,5,0,2,0,8,14,0,1,11,0,0,8,0,187,47,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,['g23'],Not_Trojan
g24,nor,n25[6],"n285, n286",2,0,0,1,6,1,1,0,0,112,0,453,656,0,106,486,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['g24'],Trojan
g25,xnor,n70,"n16[2], n29",2,0,0,1,2,7,7,2,0,0,0,0,1,0,0,1,0,0,39,0,1030,254,0,65,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,['g25'],Not_Trojan
g26,not,n60,n59,1,0,0,0,3,13,13,3,0,0,0,0,2,0,0,1,0,0,15,0,248,58,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,['g26'],Not_Trojan
g27,nor,n276,"n13[3], n274",2,0,0,1,3,2,2,3,0,44,0,179,270,0,39,194,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g27'],Trojan
g28,not,n258,n13[1],1,0,0,1,3,3,3,3,0,1,0,7,12,0,3,8,0,0,0,0,42,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['g28'],Trojan
g29,not,n272,n271,1,0,0,0,5,3,3,5,0,40,0,157,237,0,35,174,0,0,0,0,38,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g29'],Trojan
g30,not,n33,n12[3],1,0,0,1,2,5,5,2,0,0,0,0,1,0,0,0,0,0,34,0,998,247,0,59,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,['g30'],Not_Trojan
g31,xnor,n99,"n66, n11[7]",2,0,0,1,2,11,11,2,0,0,0,0,1,0,0,2,0,0,13,0,282,71,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,['g31'],Not_Trojan
