gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout,gate_numbers,label
g0,buf,n13[4],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g0'],Not_Trojan
g1,buf,n13[5],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g1'],Not_Trojan
g2,buf,n13[6],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g2'],Not_Trojan
g3,buf,n13[7],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g3'],Not_Trojan
g4,buf,n12[0],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g4'],Not_Trojan
g5,buf,n12[1],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g5'],Not_Trojan
g6,buf,n12[2],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g6'],Not_Trojan
g7,not,n2374,n2425,1,0,0,0,2,-1,-1,-1,0,8,0,4,1,0,0,0,0,0,8,0,4,1,0,0,0,0,['g7'],Not_Trojan
g8,not,n2373,n2411,1,0,0,0,4,6,-1,-1,0,40,0,68,29,0,1,5,0,0,40,0,68,29,0,1,5,0,['g8'],Not_Trojan
g9,not,n2372,n2396,1,0,0,0,4,6,-1,-1,0,29,0,48,22,0,1,4,0,0,29,0,48,22,0,1,4,0,['g9'],Not_Trojan
g10,not,n2371,n2397,1,0,0,0,4,4,-1,-1,0,18,0,29,14,0,1,1,0,0,18,0,29,14,0,1,1,0,['g10'],Not_Trojan
g11,not,n2370,n2410,1,0,0,0,4,5,-1,-1,0,40,0,68,29,0,1,4,0,0,40,0,68,29,0,1,4,0,['g11'],Not_Trojan
g12,or,n10,"n2494, n2368",2,0,0,0,3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g12'],Not_Trojan
g13,or,n8,"n2377, n2369",2,0,0,0,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g13'],Not_Trojan
g14,nor,n2369,"n2367, n2364",2,0,0,0,3,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g14'],Not_Trojan
