gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,not,n270,n9[4],1,0,0,1,1,7,3,-1,['g0'],Not_Trojan
g1,not,n224,n13[6],1,0,0,1,8,3,3,2,['g1'],Not_Trojan
g2,or,n1997,"n1053, n1591",2,0,0,0,3,13,1,0,['g2'],Not_Trojan
g3,not,n267,n4[31],1,0,0,1,1,14,3,-1,['g3'],Not_Trojan
g4,not,n497,n31[7],1,0,0,1,8,13,3,2,['g4'],Not_Trojan
g5,or,n2101,"n1429, n1625",2,0,0,0,3,12,1,0,['g5'],Not_Trojan
g6,dff,n27[0],"n1, 1'b1, n0, n2223",4,1,1,1,3,5,0,1,['g6'],Not_Trojan
g7,not,n2249,n19[7],1,0,0,1,6,11,11,3,['g7'],Trojan
g8,nor,n1473,"n553, n816",2,0,0,0,6,2,2,3,['g8'],Not_Trojan
g9,not,n618,n35[21],1,0,0,1,7,7,3,2,['g9'],Not_Trojan
g10,buf,n16[15],1'b0,1,0,1,1,-1,0,-1,-1,['g10'],Not_Trojan
g11,nor,n988,"n671, n69",2,0,0,0,5,10,2,4,['g11'],Not_Trojan
g12,xnor,n764,"n511, n86",2,0,0,0,9,17,3,3,['g12'],Not_Trojan
g13,nor,n1558,"n613, n45",2,0,0,0,5,7,2,3,['g13'],Not_Trojan
g14,dff,n31[12],"n1, 1'b1, n0, n1912",4,1,1,1,7,13,0,1,['g14'],Not_Trojan
g15,dff,n13[31],"n1, 1'b1, n0, n2145",4,1,1,1,7,0,0,1,['g15'],Not_Trojan
g16,nor,n1291,"n401, n67",2,0,0,0,4,6,2,3,['g16'],Not_Trojan
g17,dff,n30[20],"n1, 1'b1, n0, n2000",4,1,1,1,7,17,0,1,['g17'],Not_Trojan
g18,nor,n1532,"n108, n45",2,0,0,0,5,2,2,3,['g18'],Not_Trojan
g19,nor,n961,"n707, n63",2,0,0,0,5,20,2,4,['g19'],Not_Trojan
g20,dff,n21[26],"n1, 1'b1, n0, n1977",4,1,1,1,4,11,0,1,['g20'],Not_Trojan
g21,xnor,n668,"n158, n395",2,0,0,0,8,17,3,3,['g21'],Not_Trojan
g22,xnor,n789,"n76, n86",2,0,0,0,6,17,3,3,['g22'],Not_Trojan
g23,or,n1869,"n1247, n1100",2,0,0,0,6,24,1,0,['g23'],Not_Trojan
g24,nor,n1103,"n93, n59",2,0,0,0,5,25,2,3,['g24'],Not_Trojan
g25,not,n212,n29[23],1,0,0,1,7,17,3,2,['g25'],Not_Trojan
g26,xnor,n710,"n26[21], n33[17]",2,0,0,1,7,3,3,2,['g26'],Not_Trojan
g27,not,n258,n35[26],1,0,0,1,8,7,3,2,['g27'],Not_Trojan
g28,xnor,n684,"n550, n179",2,0,0,0,9,12,3,3,['g28'],Not_Trojan
g29,not,n145,n32[15],1,0,0,1,8,20,3,2,['g29'],Not_Trojan
g30,not,n305,n4[6],1,0,0,1,1,16,3,-1,['g30'],Not_Trojan
g31,not,n294,n4[23],1,0,0,1,1,15,3,-1,['g31'],Not_Trojan
g32,xnor,n808,"n26[7], n33[3]",2,0,0,1,7,3,3,2,['g32'],Not_Trojan
g33,or,n2177,"n1292, n1007",2,0,0,0,5,10,1,0,['g33'],Not_Trojan
g34,or,n1889,"n1267, n1107",2,0,0,0,6,24,1,0,['g34'],Not_Trojan
g35,xnor,n669,"n171, n481",2,0,0,0,9,11,3,3,['g35'],Not_Trojan
g36,not,n527,n28[17],1,0,0,1,8,22,3,2,['g36'],Not_Trojan
g37,nor,n1208,"n478, n61",2,0,0,0,6,21,2,3,['g37'],Not_Trojan
g38,dff,n30[14],"n1, 1'b1, n0, n2022",4,1,1,1,7,17,0,1,['g38'],Not_Trojan
g39,not,n495,n29[26],1,0,0,1,8,17,3,2,['g39'],Not_Trojan
g40,nor,n943,"n685, n64",2,0,0,0,5,21,2,4,['g40'],Not_Trojan
g41,nor,n1472,"n618, n68",2,0,0,0,4,10,2,3,['g41'],Not_Trojan
g42,dff,n11[7],"n1, 1'b1, n0, n1789",4,1,1,1,7,0,0,1,['g42'],Not_Trojan
g43,nor,n1096,"n367, n59",2,0,0,0,5,25,2,3,['g43'],Not_Trojan
g44,dff,n35[8],"n1, 1'b1, n0, n1940",4,1,1,1,6,8,0,1,['g44'],Not_Trojan
g45,nor,n1457,"n213, n43",2,0,0,0,6,2,2,3,['g45'],Not_Trojan
g46,nor,n1453,"n141, n50",2,0,0,0,6,15,2,3,['g46'],Not_Trojan
g47,or,n1896,"n1278, n1110",2,0,0,0,6,24,1,0,['g47'],Not_Trojan
g48,nor,n1188,"n112, n57",2,0,0,0,6,24,2,3,['g48'],Not_Trojan
g49,nor,n1626,"n341, n49",2,0,0,0,2,14,2,5,['g49'],Not_Trojan
g50,or,n2089,"n1080, n1606",2,0,0,0,3,14,1,0,['g50'],Not_Trojan
g51,or,n2293,"n2280, n2264",2,0,0,0,6,9,9,3,['g51'],Trojan
g52,or,n2171,"n1493, n1115",2,0,0,0,5,1,1,0,['g52'],Not_Trojan
g53,nor,n1160,"n430, n43",2,0,0,0,6,6,2,3,['g53'],Not_Trojan
g54,not,n171,n34[18],1,0,0,1,8,12,3,2,['g54'],Not_Trojan
g55,not,n493,n31[9],1,0,0,1,8,12,3,2,['g55'],Not_Trojan
g56,xnor,n634,"n534, n116",2,0,0,0,9,17,3,3,['g56'],Not_Trojan
g57,nor,n853,"n722, n48",2,0,0,0,5,2,2,3,['g57'],Not_Trojan
g58,nor,n1728,"n466, n66",2,0,0,0,5,6,2,3,['g58'],Not_Trojan
g59,nor,n1074,"n360, n51",2,0,0,0,4,13,2,3,['g59'],Not_Trojan
g60,not,n611,n35[14],1,0,0,1,7,7,3,2,['g60'],Not_Trojan
g61,nor,n1529,"n463, n48",2,0,0,0,5,2,2,3,['g61'],Not_Trojan
g62,nor,n1636,"n276, n52",2,0,0,0,2,14,2,5,['g62'],Not_Trojan
g63,dff,n26[31],"n1, 1'b1, n0, n1774",4,1,1,1,6,4,0,1,['g63'],Not_Trojan
g64,not,n494,n29[27],1,0,0,1,8,17,3,2,['g64'],Not_Trojan
