gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,not,n1693,n1877,1,0,0,0,10,6,6,2,['g0'],Not_Trojan
g1,or,n1704,"n1692, n1670",2,0,0,0,4,4,4,4,['g1'],Not_Trojan
g2,or,n1703,"n1683, n1662",2,0,0,0,4,4,4,4,['g2'],Not_Trojan
g3,or,n1698,"n1689, n1665",2,0,0,0,4,4,4,4,['g3'],Not_Trojan
g4,or,n1724,"n1690, n1669",2,0,0,0,3,8,8,3,['g4'],Not_Trojan
g5,or,n1723,"n1688, n1666",2,0,0,0,3,8,8,3,['g5'],Not_Trojan
g6,or,n1722,"n1687, n1663",2,0,0,0,3,8,8,3,['g6'],Not_Trojan
g7,or,n1701,"n1685, n1659",2,0,0,0,4,4,4,4,['g7'],Not_Trojan
g8,or,n1697,"n1686, n1661",2,0,0,0,4,4,4,4,['g8'],Not_Trojan
g9,or,n1721,"n1684, n1668",2,0,0,0,3,8,8,3,['g9'],Not_Trojan
g10,or,n1696,"n1681, n1664",2,0,0,0,4,4,4,4,['g10'],Not_Trojan
g11,or,n1720,"n1682, n1660",2,0,0,0,3,8,8,3,['g11'],Not_Trojan
g12,or,n1719,"n1680, n1658",2,0,0,0,3,8,8,3,['g12'],Not_Trojan
g13,or,n1702,"n1691, n1667",2,0,0,0,4,4,4,4,['g13'],Not_Trojan
g14,or,n1700,"n1677, n1654",2,0,0,0,4,4,4,4,['g14'],Not_Trojan
g15,or,n1695,"n1678, n1656",2,0,0,0,4,4,4,4,['g15'],Not_Trojan
g16,or,n1718,"n1679, n1657",2,0,0,0,3,8,8,3,['g16'],Not_Trojan
g17,or,n1717,"n1676, n1655",2,0,0,0,3,8,8,3,['g17'],Not_Trojan
g18,or,n1699,"n1653, n1672",2,0,0,0,4,4,4,4,['g18'],Not_Trojan
g19,or,n1726,"n1675, n1673",2,0,0,0,3,8,8,3,['g19'],Not_Trojan
g20,or,n1725,"n1674, n1671",2,0,0,0,3,8,8,3,['g20'],Not_Trojan
g21,nor,n1692,"n1611, n1610",2,0,0,0,4,5,5,4,['g21'],Not_Trojan
g22,nor,n1691,"n1638, n1610",2,0,0,0,4,5,5,4,['g22'],Not_Trojan
g23,nor,n1690,"n1637, n1609",2,0,0,0,3,9,9,3,['g23'],Not_Trojan
g24,nor,n1689,"n1634, n1610",2,0,0,0,4,5,5,4,['g24'],Not_Trojan
g25,nor,n1688,"n1620, n1609",2,0,0,0,3,9,9,3,['g25'],Not_Trojan
g26,nor,n1687,"n1642, n1609",2,0,0,0,3,9,9,3,['g26'],Not_Trojan
