gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,buf,n4[31],1'b0,1,0,1,1,4,6,0,1,['g0'],Not_Trojan
g1,buf,n4[30],1'b0,1,0,1,1,4,8,0,1,['g1'],Not_Trojan
g2,buf,n4[29],1'b0,1,0,1,1,4,10,0,1,['g2'],Not_Trojan
g3,buf,n4[28],1'b0,1,0,1,1,4,10,0,1,['g3'],Not_Trojan
g4,buf,n4[27],1'b0,1,0,1,1,4,12,0,1,['g4'],Not_Trojan
g5,buf,n4[26],1'b0,1,0,1,1,4,12,0,1,['g5'],Not_Trojan
g6,buf,n4[25],1'b0,1,0,1,1,4,14,0,1,['g6'],Not_Trojan
g7,buf,n4[24],1'b0,1,0,1,1,4,14,0,1,['g7'],Not_Trojan
g8,buf,n4[23],1'b0,1,0,1,1,4,15,0,1,['g8'],Not_Trojan
g9,buf,n4[22],1'b0,1,0,1,1,4,15,0,1,['g9'],Not_Trojan
g10,buf,n4[21],1'b0,1,0,1,1,4,15,0,1,['g10'],Not_Trojan
g11,buf,n4[20],1'b0,1,0,1,1,4,15,0,1,['g11'],Not_Trojan
g12,buf,n4[19],1'b0,1,0,1,1,4,19,0,1,['g12'],Not_Trojan
g13,buf,n4[18],1'b0,1,0,1,1,4,19,0,1,['g13'],Not_Trojan
g14,buf,n4[17],1'b0,1,0,1,1,4,14,0,1,['g14'],Not_Trojan
g15,buf,n4[16],1'b0,1,0,1,1,4,14,0,1,['g15'],Not_Trojan
g16,buf,n4[15],1'b0,1,0,1,1,4,14,0,1,['g16'],Not_Trojan
g17,buf,n4[14],1'b0,1,0,1,1,4,14,0,1,['g17'],Not_Trojan
g18,buf,n4[13],1'b0,1,0,1,1,4,19,0,1,['g18'],Not_Trojan
g19,buf,n4[12],1'b0,1,0,1,1,4,19,0,1,['g19'],Not_Trojan
g20,buf,n4[11],1'b0,1,0,1,1,4,15,0,1,['g20'],Not_Trojan
