gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,dff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,dff_gates_fanout,and_gates_prelevel,or_gates_prelevel,nand_gates_prelevel,nor_gates_prelevel,not_gates_prelevel,buf_gates_prelevel,xor_gates_prelevel,xnor_gates_prelevel,dff_gates_prelevel,and_gates_postlevel,or_gates_postlevel,nand_gates_postlevel,nor_gates_postlevel,not_gates_postlevel,buf_gates_postlevel,xor_gates_postlevel,xnor_gates_postlevel,dff_gates_postlevel,gate_numbers,label
g0,nor,n302,"n11[0], n11[1]",2,0,0,1,6,12,3,2,0,8,0,16,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,['g0'],Not_Trojan
g1,nor,n101,"n78, n99",2,0,0,0,5,17,6,3,0,0,0,98,29,0,1,0,0,0,0,0,5,10,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,['g1'],Not_Trojan
g2,dff,n15[15],"1'b1, 1'b1, n0, n387",4,1,1,1,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g2'],Not_Trojan
g3,or,n23,"n15[4], n15[3]",2,0,0,1,4,22,16,2,0,11,0,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,['g3'],Not_Trojan
g4,or,n328,"n246, n252",2,0,0,0,5,14,8,3,0,6,0,13,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,['g4'],Not_Trojan
g5,dff,n16[7],"1'b1, 1'b1, n0, n572",4,1,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g5'],Trojan
g6,not,n538,n17[15],1,0,0,1,3,25,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['g6'],Trojan
g7,xnor,n333,"n9[0], n16[7]",2,0,0,1,3,6,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,['g7'],Not_Trojan
g8,nor,n565,"n538, n1",2,0,0,0,1,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,['g8'],Trojan
g9,nor,n360,"n321, n287",2,0,0,0,6,11,2,4,0,0,0,2,0,0,0,0,0,0,14,0,24,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,['g9'],Not_Trojan
g10,or,n48,"n41, n42",2,0,0,0,6,18,12,3,0,9,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,['g10'],Not_Trojan
g11,nor,n344,"n318, n298",2,0,0,0,6,11,2,4,0,0,0,2,0,0,0,0,0,0,14,0,28,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,['g11'],Not_Trojan
g12,not,n117,n116,1,0,0,0,6,16,7,4,0,0,0,38,12,0,1,0,0,0,0,0,10,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g12'],Not_Trojan
g13,dff,n11[2],"1'b1, 1'b1, n0, n467",4,1,1,1,6,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g13'],Not_Trojan
g14,buf,n3[30],n3[31],1,0,0,1,7,0,-1,3,0,0,0,0,0,0,0,0,0,0,20,0,3,9,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['g14'],Not_Trojan
g15,not,n158,n157,1,0,0,0,7,26,5,4,0,0,0,52,27,0,1,0,0,0,0,0,5,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g15'],Not_Trojan
g16,buf,n3[61],n3[63],1,0,0,1,7,0,-1,3,0,0,0,0,0,0,0,0,0,0,20,0,3,9,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['g16'],Not_Trojan
g17,not,n239,n519,1,0,0,0,6,20,4,4,0,0,0,3,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['g17'],Not_Trojan
g18,dff,n6[24],"1'b1, 1'b1, n0, n477",4,1,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g18'],Not_Trojan
g19,nor,n296,"n241, n498",2,0,0,0,6,14,3,4,0,0,0,3,0,0,0,0,0,0,7,0,10,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,['g19'],Not_Trojan
g20,xor,n572,"n17[0], n2[0]",2,0,0,1,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['g20'],Trojan
g21,nor,n112,"n15[9], n110",2,0,0,1,4,16,6,2,0,0,0,5,1,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,['g21'],Not_Trojan
g22,nor,n32,"n20, n31",2,0,0,0,5,19,13,3,0,9,0,14,3,0,0,0,0,0,2,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,['g22'],Not_Trojan
