gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout,gate_numbers,label
g0,nor,n106,"n11[11], n104",2,0,0,1,5,23,4,2,0,0,0,3,1,0,0,0,0,0,0,0,11,20,0,0,0,0,['g0'],Not_Trojan
g1,or,n18,"n11[2], n11[1]",2,0,0,1,5,19,15,2,0,5,0,24,2,0,0,0,0,0,1,0,0,0,0,0,0,0,['g1'],Not_Trojan
g2,nor,n350,"n88, n89",2,0,0,0,6,25,3,3,0,0,0,2,1,0,0,0,0,0,0,0,11,18,0,0,0,0,['g2'],Not_Trojan
g3,dff,n13[12],"n390, 1'b1, n0, n386",4,1,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g3'],Trojan
g4,or,n209,"n10[1], n205",2,0,0,1,4,14,10,2,0,5,0,20,1,0,0,0,0,0,1,0,1,3,0,0,0,0,['g4'],Not_Trojan
g5,dff,n6[7],"1'b1, 1'b1, n0, n309",4,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g5'],Not_Trojan
g6,nor,n27,"n15, n26",2,0,0,0,6,17,13,3,0,4,0,23,2,0,0,0,0,0,9,0,2,1,0,0,0,0,['g6'],Not_Trojan
g7,not,n39,n12[4],1,0,0,1,4,17,7,2,0,0,0,28,9,0,1,0,0,0,0,0,0,1,0,0,0,0,['g7'],Not_Trojan
g8,not,n121,n370,1,0,0,0,6,11,7,4,0,0,0,21,2,0,0,0,0,0,13,0,2,7,0,0,0,0,['g8'],Not_Trojan
g9,dff,n11[6],"1'b1, 1'b1, n0, n224",4,1,1,1,4,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g9'],Not_Trojan
g10,nor,n104,"n73, n102",2,0,0,0,6,23,4,3,0,0,0,28,14,0,1,0,0,0,0,0,10,20,0,0,0,0,['g10'],Not_Trojan
g11,xor,n379,"n8[37], n14[5]",2,0,0,1,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,['g11'],Trojan
g12,dff,n6[10],"1'b1, 1'b1, n0, n304",4,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g12'],Not_Trojan
g13,not,n125,n353,1,0,0,0,7,27,2,4,0,0,0,1,1,0,0,0,0,0,0,0,17,31,0,0,0,0,['g13'],Not_Trojan
g14,dff,n9[3],"1'b1, 1'b1, n0, n200",4,1,1,1,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g14'],Not_Trojan
g15,nor,n355,"n103, n104",2,0,0,0,6,28,3,3,0,0,0,2,1,0,0,0,0,0,0,0,21,38,0,0,0,0,['g15'],Not_Trojan
g16,not,n166,n12[3],1,0,0,1,4,17,4,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,['g16'],Not_Trojan
g17,nor,n92,"n61, n90",2,0,0,0,6,26,4,3,0,0,0,52,26,0,1,0,0,0,0,0,6,12,0,0,0,0,['g17'],Not_Trojan
g18,xor,n8[40],"n2[8], n3[0]",2,0,0,1,1,6,2,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,['g18'],Not_Trojan
g19,xnor,n281,"n278, n13[1]",2,0,0,1,3,3,2,2,0,0,0,1,0,0,0,1,0,0,15,0,14,14,0,0,1,0,['g19'],Not_Trojan
g20,not,n171,n9[1],1,0,0,1,4,13,2,2,0,3,0,21,2,0,0,0,0,0,0,0,0,1,0,0,0,0,['g20'],Not_Trojan
g21,nor,n356,"n106, n107",2,0,0,0,6,22,3,3,0,0,0,2,1,0,0,0,0,0,0,0,23,42,0,0,0,0,['g21'],Not_Trojan
g22,nor,n207,"n177, n175",2,0,0,0,3,8,7,3,0,1,0,20,0,0,0,16,0,0,13,0,5,7,0,0,0,0,['g22'],Not_Trojan
g23,nor,n248,"n146, n228",2,0,0,0,7,13,3,5,0,0,0,3,0,0,0,0,0,0,1,0,11,17,0,0,0,0,['g23'],Not_Trojan
g24,not,n155,n5[5],1,0,0,1,4,8,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,['g24'],Not_Trojan
g25,nor,n324,"n117, n320",2,0,0,0,2,7,1,0,0,0,0,1,0,0,0,0,0,0,88,0,32,54,0,0,2,0,['g25'],Not_Trojan
g26,xnor,n4[12],"n338, n6[12]",2,0,0,1,4,0,-1,2,0,0,0,0,0,0,0,0,0,0,13,0,2,6,0,1,5,0,['g26'],Not_Trojan
g27,nor,n316,"n174, n297",2,0,0,0,5,7,3,3,0,0,0,3,0,0,0,0,0,0,44,0,15,25,0,0,1,0,['g27'],Not_Trojan
g28,nor,n224,"n139, n186",2,0,0,0,3,23,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14,23,0,0,0,0,['g28'],Not_Trojan
g29,dff,n14[11],"1'b1, n390, n0, n14[10]",4,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g29'],Trojan
g30,nor,n363,"n59, n60",2,0,0,0,5,15,5,3,0,0,0,4,1,0,0,0,0,0,0,0,13,22,0,0,0,0,['g30'],Not_Trojan
g31,not,n135,n356,1,0,0,0,7,21,2,4,0,0,0,1,1,0,0,0,0,0,0,0,23,43,0,0,0,0,['g31'],Not_Trojan
g32,nor,n180,"n152, n117",2,0,0,0,2,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g32'],Not_Trojan
g33,nor,n238,"n157, n229",2,0,0,0,5,13,3,3,0,0,0,3,0,0,0,0,0,0,1,0,2,2,0,0,0,0,['g33'],Not_Trojan
g34,dff,n5[6],"1'b1, 1'b1, n0, n195",4,1,1,1,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g34'],Not_Trojan
g35,nor,n179,"n171, n117",2,0,0,0,2,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g35'],Not_Trojan
g36,nor,n225,"n140, n186",2,0,0,0,3,26,1,0,0,0,0,1,0,0,0,0,0,0,1,0,20,35,0,0,0,0,['g36'],Not_Trojan
g37,dff,n13[10],"n390, 1'b1, n0, n387",4,1,1,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g37'],Trojan
g38,nor,n368,"n45, n44",2,0,0,0,5,19,5,3,0,0,0,4,1,0,0,0,0,0,0,0,3,2,0,0,0,0,['g38'],Not_Trojan
g39,not,n96,n95,1,0,0,0,7,28,5,4,0,0,0,40,21,0,1,0,0,0,0,0,7,15,0,0,0,0,['g39'],Not_Trojan
g40,nor,n277,"n201, n276",2,0,0,0,6,10,6,4,0,1,0,20,1,0,0,0,0,0,7,0,2,6,0,0,0,0,['g40'],Not_Trojan
g41,nor,n351,"n91, n92",2,0,0,0,6,25,3,3,0,0,0,2,1,0,0,0,0,0,0,0,13,22,0,0,0,0,['g41'],Not_Trojan
g42,dff,n12[7],"1'b1, 1'b1, n0, n267",4,1,1,1,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g42'],Not_Trojan
g43,not,n108,n107,1,0,0,0,7,21,5,4,0,0,0,16,9,0,1,0,0,0,0,0,11,23,0,0,0,0,['g43'],Not_Trojan
g44,nor,n182,"n123, n117",2,0,0,0,2,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['g44'],Not_Trojan
g45,xor,n338,"n337, n370",2,0,0,0,6,1,-1,4,0,0,0,0,0,0,1,0,0,0,13,0,2,6,0,1,4,0,['g45'],Not_Trojan
g46,nor,n269,"n117, n256",2,0,0,0,2,11,1,0,0,0,0,1,0,0,0,0,0,0,2,0,17,23,0,0,0,0,['g46'],Not_Trojan
g47,not,n170,n12[6],1,0,0,1,4,14,4,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,['g47'],Not_Trojan
g48,xor,n383,"n8[38], n14[6]",2,0,0,1,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,['g48'],Trojan
g49,not,n87,n86,1,0,0,0,7,27,5,4,0,0,0,58,30,0,1,0,0,0,0,0,4,9,0,0,0,0,['g49'],Not_Trojan
g50,xor,n8[34],"n2[2], n3[2]",2,0,0,1,1,6,2,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,['g50'],Not_Trojan
g51,xnor,n295,"n278, n13[6]",2,0,0,1,3,3,2,2,0,0,0,1,0,0,0,1,0,0,15,0,14,14,0,0,1,0,['g51'],Not_Trojan
g52,nor,n266,"n244, n262",2,0,0,0,5,9,5,3,0,0,0,20,1,0,0,0,0,0,30,0,10,13,0,0,0,0,['g52'],Not_Trojan
g53,dff,n11[11],"1'b1, 1'b1, n0, n216",4,1,1,1,4,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g53'],Not_Trojan
g54,xor,n8[42],"n2[10], n3[2]",2,0,0,1,1,6,2,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,['g54'],Not_Trojan
g55,not,n81,n80,1,0,0,0,7,27,5,4,0,0,0,70,36,0,1,0,0,0,0,0,2,5,0,0,0,0,['g55'],Not_Trojan
g56,dff,n14[3],"1'b1, n390, n0, n14[2]",4,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g56'],Trojan
g57,nor,n259,"n236, n240",2,0,0,0,6,15,2,4,0,0,0,2,0,0,0,0,0,0,2,0,12,15,0,0,0,0,['g57'],Not_Trojan
g58,nor,n215,"n138, n186",2,0,0,0,3,17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,26,47,0,0,0,0,['g58'],Not_Trojan
g59,not,n55,n54,1,0,0,0,6,17,7,4,0,0,0,18,6,0,1,0,0,0,0,0,4,9,0,0,0,0,['g59'],Not_Trojan
g60,dff,n11[4],"1'b1, 1'b1, n0, n226",4,1,1,1,4,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['g60'],Not_Trojan
g61,nor,n274,"n117, n253",2,0,0,0,2,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,['g61'],Not_Trojan
g62,not,n157,n12[4],1,0,0,1,4,14,4,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,['g62'],Not_Trojan
