gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,gate_numbers,label
g0,buf,n10[0],n9[0],1,0,0,1,8,0,-1,2,['g0'],Not_Trojan
g1,buf,n10[1],n9[1],1,0,0,1,8,0,-1,2,['g1'],Not_Trojan
g2,buf,n10[2],n9[2],1,0,0,1,8,0,-1,2,['g2'],Not_Trojan
g3,buf,n10[3],n9[3],1,0,0,1,8,0,-1,2,['g3'],Not_Trojan
g4,buf,n10[4],n9[4],1,0,0,1,8,0,-1,2,['g4'],Not_Trojan
g5,buf,n10[5],n9[5],1,0,0,1,8,0,-1,2,['g5'],Not_Trojan
g6,buf,n10[6],n9[6],1,0,0,1,8,0,-1,2,['g6'],Not_Trojan
g7,buf,n10[7],n9[7],1,0,0,1,8,0,-1,2,['g7'],Not_Trojan
g8,dff,n12,"1'b1, 1'b1, n0, n171",4,1,1,0,11,-1,0,1,['g8'],Not_Trojan
g9,dff,n13,"1'b1, 1'b1, n0, n170",4,1,1,0,10,0,0,1,['g9'],Not_Trojan
g10,or,n171,"n169, n168",2,0,0,0,10,-1,1,0,['g10'],Not_Trojan
g11,nor,n170,"n169, n167",2,0,0,0,9,1,1,0,['g11'],Not_Trojan
g12,or,n168,"n30, n166",2,0,0,0,9,-1,2,4,['g12'],Not_Trojan
g13,nor,n167,"n29, n165",2,0,0,0,8,2,2,4,['g13'],Not_Trojan
g14,nor,n166,"n164, n163",2,0,0,0,8,-1,3,9,['g14'],Not_Trojan
g15,nor,n165,"n164, n162",2,0,0,0,7,3,3,8,['g15'],Not_Trojan
g16,or,n163,"n143, n161",2,0,0,0,7,-1,4,8,['g16'],Not_Trojan
g17,dff,n11,"1'b1, 1'b1, n0, n160",4,1,1,0,4,-1,0,1,['g17'],Not_Trojan
g18,or,n162,"n129, n159",2,0,0,0,6,4,4,7,['g18'],Not_Trojan
g19,or,n161,"n112, n157",2,0,0,0,6,-1,5,7,['g19'],Not_Trojan
g20,or,n160,"n153, n158",2,0,0,0,3,-1,1,0,['g20'],Not_Trojan
g21,or,n159,"n127, n156",2,0,0,0,5,5,5,6,['g21'],Not_Trojan
g22,or,n158,"n50, n154",2,0,0,0,4,-1,2,4,['g22'],Not_Trojan
g23,or,n157,"n118, n155",2,0,0,0,6,-1,6,7,['g23'],Not_Trojan
g24,or,n156,"n125, n150",2,0,0,0,5,6,6,6,['g24'],Not_Trojan
g25,dff,n9[1],"1'b1, 1'b1, n0, n144",4,1,1,1,7,0,0,1,['g25'],Not_Trojan
g26,dff,n9[3],"1'b1, 1'b1, n0, n152",4,1,1,1,7,0,0,1,['g26'],Not_Trojan
g27,dff,n9[0],"1'b1, 1'b1, n0, n145",4,1,1,1,7,0,0,1,['g27'],Not_Trojan
g28,dff,n9[6],"1'b1, 1'b1, n0, n147",4,1,1,1,7,0,0,1,['g28'],Not_Trojan
g29,dff,n9[4],"1'b1, 1'b1, n0, n149",4,1,1,1,7,0,0,1,['g29'],Not_Trojan
g30,dff,n9[2],"1'b1, 1'b1, n0, n151",4,1,1,1,7,0,0,1,['g30'],Not_Trojan
g31,dff,n9[7],"1'b1, 1'b1, n0, n148",4,1,1,1,7,0,0,1,['g31'],Not_Trojan
g32,dff,n9[5],"1'b1, 1'b1, n0, n146",4,1,1,1,7,0,0,1,['g32'],Not_Trojan
g33,or,n155,"n137, n138",2,0,0,0,7,-1,7,8,['g33'],Not_Trojan
g34,nor,n154,"n54, n142",2,0,0,0,3,-1,3,8,['g34'],Not_Trojan
g35,nor,n153,"n42, n140",2,0,0,0,2,-1,2,8,['g35'],Not_Trojan
g36,or,n152,"n49, n122",2,0,0,0,6,1,1,0,['g36'],Not_Trojan
g37,or,n151,"n45, n128",2,0,0,0,6,1,1,0,['g37'],Not_Trojan
g38,or,n150,"n131, n133",2,0,0,0,6,7,7,7,['g38'],Not_Trojan
g39,or,n149,"n46, n124",2,0,0,0,6,1,1,0,['g39'],Not_Trojan
g40,or,n148,"n52, n139",2,0,0,0,6,1,1,0,['g40'],Not_Trojan
g41,or,n147,"n44, n135",2,0,0,0,6,1,1,0,['g41'],Not_Trojan
