gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,not,n3436,n3435,1,0,0,0,8,13,13,8,0,114,0,99,40,0,19,23,0,0,114,0,99,40,0,19,23,0
g1,nor,n4486,"n4349, n4407",2,0,0,0,6,18,18,6,0,154646,0,132843,57077,0,22382,51014,0,0,154646,0,132843,57077,0,22382,51014,0
g2,nor,n6550,"n6372, n6448",2,0,0,0,6,17,17,6,0,526885,0,453145,202216,0,82748,201436,0,0,526885,0,453145,202216,0,82748,201436,0
g3,nor,n2622,"n2545, n2591",2,0,0,0,6,16,16,6,0,176376,0,150788,62584,0,26112,41302,0,0,176376,0,150788,62584,0,26112,41302,0
g4,not,n6641,n6640,1,0,0,0,7,19,19,7,0,659301,0,573174,252832,0,106805,221844,0,0,659301,0,573174,252832,0,106805,221844,0
g5,nor,n4143,"n4007, n4024",2,0,0,0,3,17,17,3,0,1285878,0,1111491,476917,0,195384,386038,0,0,1285878,0,1111491,476917,0,195384,386038,0
g6,nor,n4174,"n4013, n4007",2,0,0,0,3,16,16,3,0,3910544,0,3382290,1436499,0,629091,979464,0,0,3910544,0,3382290,1436499,0,629091,979464,0
g7,xnor,n5003,"n4957, n4918",2,0,0,0,8,12,12,8,0,38548,0,33338,14317,0,5830,11725,0,0,38548,0,33338,14317,0,5830,11725,0
g8,not,n1969,n1970,1,0,0,0,4,15,15,4,0,5346754,0,4639070,1988499,0,879599,1393546,0,0,5346754,0,4639070,1988499,0,879599,1393546,0
g9,xnor,n6283,"n5974, n5994",2,0,0,0,6,19,19,6,0,761137,0,650622,291220,0,117693,301456,0,0,761137,0,650622,291220,0,117693,301456,0
g10,nor,n4657,"n4469, n4544",2,0,0,0,5,17,17,5,0,22825,0,19110,8194,0,2914,8811,0,0,22825,0,19110,8194,0,2914,8811,0
g11,or,n1773,"n1410, n1500",2,0,0,0,3,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g12,xnor,n3898,"n41[5], n7806",2,0,0,1,9,11,11,9,0,134872,0,116561,49388,0,22444,31529,0,0,134872,0,116561,49388,0,22444,31529,0
g13,nor,n3116,"n3013, n3037",2,0,0,0,5,15,15,5,0,594,0,511,215,0,99,126,0,0,594,0,511,215,0,99,126,0
g14,nor,n3915,"n3883, n3914",2,0,0,0,10,11,11,10,0,58360,0,50704,21742,0,9691,14829,0,0,58360,0,50704,21742,0,9691,14829,0
g15,not,n502,n501,1,0,0,0,6,28,9,6,0,13,0,33,13,0,4,6,0,0,13,0,33,13,0,4,6,0
g16,dff,n30[1],"n1, 1'b1, n0, n1742",4,1,1,1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g17,nor,n2353,"n2261, n2325",2,0,0,0,7,11,11,7,0,216257,0,188085,81192,0,35390,59836,0,0,216257,0,188085,81192,0,35390,59836,0
g18,not,n884,n31[4],1,0,0,1,2,11,3,2,0,2,0,2,1,0,0,1,0,0,2,0,2,1,0,0,1,0
g19,or,n5539,"n5098, n5109",2,0,0,0,3,21,21,3,0,7909661,0,6848334,3031386,0,1267467,2777026,0,0,7909661,0,6848334,3031386,0,1267467,2777026,0
