gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,buf,n19[0],1'b0,1,0,1,1,-1,0,-1,-1
g1,buf,n19[1],1'b0,1,0,1,1,-1,0,-1,-1
g2,buf,n19[2],1'b0,1,0,1,1,-1,0,-1,-1
g3,buf,n19[3],1'b0,1,0,1,1,-1,0,-1,-1
g4,buf,n18[0],1'b0,1,0,1,1,-1,0,-1,-1
g5,buf,n18[1],1'b0,1,0,1,1,-1,0,-1,-1
g6,buf,n18[2],1'b0,1,0,1,1,-1,0,-1,-1
g7,buf,n18[3],1'b0,1,0,1,1,-1,0,-1,-1
g8,buf,n18[4],1'b0,1,0,1,1,-1,0,-1,-1
g9,buf,n18[5],1'b0,1,0,1,1,-1,0,-1,-1
g10,buf,n18[6],1'b0,1,0,1,1,-1,0,-1,-1
g11,buf,n18[7],1'b0,1,0,1,1,-1,0,-1,-1
g12,not,n4465,n1,1,0,0,0,-1,4,4,-1
g13,not,n4464,n5,1,0,0,0,1,13,7,-1
g14,or,n4526,"n4443, n4381",2,0,0,0,3,38,36,4
g15,or,n4552,"n4446, n4371",2,0,0,0,3,12,10,4
g16,or,n4549,"n4457, n4391",2,0,0,0,4,16,14,4
g17,or,n4542,"n4454, n4386",2,0,0,0,3,22,20,4
g18,or,n4529,"n4458, n4392",2,0,0,0,3,36,34,4
g19,or,n4504,"n4462, n4397",2,0,0,0,4,29,27,4
g20,or,n4503,"n4461, n4395",2,0,0,0,4,29,27,4
g21,or,n4502,"n4456, n4343",2,0,0,0,4,31,29,4
g22,or,n4528,"n4452, n4388",2,0,0,0,3,36,34,4
g23,or,n4501,"n4453, n4390",2,0,0,0,3,31,29,4
g24,or,n4500,"n4451, n4389",2,0,0,0,3,33,31,4
g25,or,n4527,"n4449, n4385",2,0,0,0,3,38,36,4
g26,or,n4499,"n4450, n4387",2,0,0,0,3,33,31,4
g27,or,n4498,"n4447, n4384",2,0,0,0,4,35,33,4
g28,or,n4548,"n4440, n4373",2,0,0,0,3,16,14,4
g29,or,n4541,"n4444, n4383",2,0,0,0,4,24,22,4
g30,or,n4555,"n4460, n4362",2,0,0,0,4,9,7,4
g31,or,n4497,"n4445, n4368",2,0,0,0,4,35,33,4
