gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,not,n706,n7[11],1,0,0,1,5,3,-1,2
g1,not,n705,n7[5],1,0,0,1,5,3,-1,2
g2,not,n704,n7[10],1,0,0,1,5,3,-1,2
g3,not,n703,n7[8],1,0,0,1,5,3,-1,2
g4,not,n702,n7[2],1,0,0,1,5,3,-1,2
g5,not,n701,n7[9],1,0,0,1,5,3,-1,2
g6,not,n700,n7[4],1,0,0,1,5,3,-1,2
g7,not,n699,n7[1],1,0,0,1,5,3,-1,2
g8,not,n698,n7[7],1,0,0,1,5,3,-1,2
g9,not,n697,n7[0],1,0,0,1,5,3,-1,2
g10,not,n696,n7[12],1,0,0,1,5,3,-1,2
g11,not,n695,n7[6],1,0,0,1,5,3,-1,2
g12,not,n694,n7[3],1,0,0,1,5,3,-1,2
g13,xnor,n5[3],"n688, n8[3]",2,0,0,1,4,0,-1,2
g14,xnor,n4[10],"n687, n9[10]",2,0,0,1,4,0,-1,2
g15,xnor,n4[9],"n692, n9[9]",2,0,0,1,4,0,-1,2
g16,xnor,n4[6],"n691, n9[6]",2,0,0,1,4,0,-1,2
g17,xnor,n4[5],"n693, n9[5]",2,0,0,1,4,0,-1,2
g18,xnor,n5[11],"n686, n8[11]",2,0,0,1,4,0,-1,2
g19,xnor,n5[10],"n687, n8[10]",2,0,0,1,4,0,-1,2
g20,xnor,n5[9],"n692, n8[9]",2,0,0,1,4,0,-1,2
g21,xnor,n5[8],"n689, n8[8]",2,0,0,1,4,0,-1,2
g22,xnor,n4[8],"n689, n9[8]",2,0,0,1,4,0,-1,2
g23,xnor,n5[7],"n684, n8[7]",2,0,0,1,4,0,-1,2
g24,xnor,n5[6],"n691, n8[6]",2,0,0,1,4,0,-1,2
g25,xnor,n5[5],"n693, n8[5]",2,0,0,1,4,0,-1,2
g26,xnor,n5[4],"n690, n8[4]",2,0,0,1,4,0,-1,2
g27,xnor,n4[4],"n690, n9[4]",2,0,0,1,4,0,-1,2
g28,xnor,n4[11],"n686, n9[11]",2,0,0,1,4,0,-1,2
g29,xnor,n5[2],"n685, n8[2]",2,0,0,1,4,0,-1,2
g30,xnor,n5[1],"n683, n8[1]",2,0,0,1,4,0,-1,2
g31,xnor,n4[7],"n684, n9[7]",2,0,0,1,4,0,-1,2
g32,xnor,n4[3],"n688, n9[3]",2,0,0,1,4,0,-1,2
g33,xnor,n6[11],"n686, n10[11]",2,0,0,1,4,0,-1,2
g34,xnor,n6[10],"n687, n10[10]",2,0,0,1,4,0,-1,2
g35,xnor,n6[9],"n692, n10[9]",2,0,0,1,4,0,-1,2
g36,xnor,n4[2],"n685, n9[2]",2,0,0,1,4,0,-1,2
g37,xnor,n6[8],"n689, n10[8]",2,0,0,1,4,0,-1,2
g38,xnor,n6[7],"n684, n10[7]",2,0,0,1,4,0,-1,2
g39,xnor,n6[6],"n691, n10[6]",2,0,0,1,4,0,-1,2
g40,xnor,n6[5],"n693, n10[5]",2,0,0,1,4,0,-1,2
g41,xnor,n4[1],"n683, n9[1]",2,0,0,1,4,0,-1,2
g42,xnor,n6[4],"n690, n10[4]",2,0,0,1,4,0,-1,2
g43,xnor,n6[3],"n688, n10[3]",2,0,0,1,4,0,-1,2
g44,xnor,n6[2],"n685, n10[2]",2,0,0,1,4,0,-1,2
g45,xnor,n6[1],"n683, n10[1]",2,0,0,1,4,0,-1,2
g46,xnor,n4[0],"n681, n9[0]",2,0,0,1,2,0,-1,2
g47,xnor,n5[12],"n682, n8[12]",2,0,0,1,3,0,-1,2
g48,xnor,n5[0],"n681, n8[0]",2,0,0,1,2,0,-1,2
g49,xnor,n6[12],"n682, n10[12]",2,0,0,1,3,0,-1,2
g50,xnor,n4[12],"n682, n9[12]",2,0,0,1,3,0,-1,2
g51,xnor,n6[0],"n681, n10[0]",2,0,0,1,2,0,-1,2
g52,xnor,n693,"n11[5], n679",2,0,0,1,3,1,-1,4
g53,xnor,n692,"n11[9], n680",2,0,0,1,3,1,-1,4
g54,xnor,n691,"n11[6], n670",2,0,0,1,3,1,-1,4
g55,xnor,n690,"n11[4], n678",2,0,0,1,3,1,-1,4
g56,xnor,n689,"n11[8], n677",2,0,0,1,3,1,-1,4
g57,xnor,n688,"n11[3], n676",2,0,0,1,3,1,-1,4
g58,xnor,n687,"n11[10], n675",2,0,0,1,3,1,-1,4
g59,xnor,n686,"n11[11], n671",2,0,0,1,3,1,-1,4
g60,xnor,n685,"n11[2], n674",2,0,0,1,3,1,-1,4
g61,xnor,n684,"n11[7], n673",2,0,0,1,3,1,-1,4
g62,xnor,n683,"n11[1], n672",2,0,0,1,3,1,-1,4
g63,xnor,n682,"n11[12], n664",2,0,0,1,2,1,-1,4
g64,xnor,n681,"n3[0], n665",2,0,0,1,1,1,-1,4
g65,xor,n764,"n11[9], n3[9]",2,0,0,1,1,8,7,-1
g66,xor,n763,"n11[8], n3[8]",2,0,0,1,1,8,7,-1
g67,xor,n762,"n11[7], n3[7]",2,0,0,1,1,8,7,-1
g68,xor,n761,"n11[6], n3[6]",2,0,0,1,1,8,7,-1
g69,xor,n759,"n11[4], n3[4]",2,0,0,1,1,8,7,-1
g70,xor,n758,"n11[3], n3[3]",2,0,0,1,1,8,7,-1
g71,xor,n757,"n11[2], n3[2]",2,0,0,1,1,8,7,-1
g72,xor,n756,"n11[1], n3[1]",2,0,0,1,1,7,6,-1
g73,xor,n789,"n11[8], n2[8]",2,0,0,1,1,8,7,-1
g74,xor,n788,"n11[7], n2[7]",2,0,0,1,1,8,7,-1
g75,xor,n740,"n11[11], n741",2,0,0,1,3,8,7,-1
g76,xor,n738,"n11[10], n739",2,0,0,1,3,8,7,-1
g77,xor,n736,"n11[9], n737",2,0,0,1,3,8,7,-1
g78,nor,n680,"n701, n666",2,0,0,0,4,2,-1,3
g79,nor,n679,"n705, n657",2,0,0,0,4,2,-1,3
g80,nor,n678,"n700, n662",2,0,0,0,4,2,-1,3
g81,nor,n677,"n703, n661",2,0,0,0,4,2,-1,3
g82,nor,n676,"n694, n660",2,0,0,0,4,2,-1,3
g83,nor,n675,"n704, n658",2,0,0,0,4,2,-1,3
g84,nor,n674,"n702, n659",2,0,0,0,4,2,-1,3
g85,nor,n673,"n698, n663",2,0,0,0,4,2,-1,3
