gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,nor,n1745,"n1697, n1721",2,0,0,0,9,11,11,6,0,108,0,101,34,0,0,7,0,0,108,0,101,34,0,0,7,0
g1,not,n2657,n2656,1,0,0,0,9,15,15,6,0,665,0,812,374,0,164,42,0,0,665,0,812,374,0,164,42,0
g2,nor,n791,"n128, n655",2,0,0,0,3,4,4,3,0,3,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
g3,not,n161,n10[3],1,0,0,1,13,3,3,2,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
g4,not,n1716,n1715,1,0,0,0,8,13,13,5,0,160,0,154,51,0,1,10,0,0,160,0,154,51,0,1,10,0
g5,dff,n20[4],"n1, 1'b1, n0, n844",4,1,1,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g6,dff,n20[0],"n1, 1'b1, n0, n848",4,1,1,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7,xnor,n3315,"n3024, n3051",2,0,0,0,14,9,9,11,0,9,0,8,3,0,0,1,0,0,9,0,8,3,0,0,1,0
g8,nor,n1537,"n1523, n1512",2,0,0,0,6,14,14,3,0,5551,0,5392,1748,0,72,338,0,0,5551,0,5392,1748,0,72,338,0
g9,nor,n674,"n107, n661",2,0,0,0,2,8,2,7,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g10,xnor,n1486,"n1463, n1435",2,0,0,0,11,9,9,8,0,51,0,61,27,0,8,6,0,0,51,0,61,27,0,8,6,0
g11,nor,n2952,"n2951, n2915",2,0,0,0,14,10,10,11,0,24,0,26,13,0,6,2,0,0,24,0,26,13,0,6,2,0
g12,nor,n1136,"n1049, n1102",2,0,0,0,9,14,14,6,0,1881,0,2333,1058,0,376,198,0,0,1881,0,2333,1058,0,376,198,0
g13,xor,n3284,"n2930, n2949",2,0,0,0,14,8,8,11,0,30,0,36,17,0,8,1,0,0,30,0,36,17,0,8,1,0
g14,buf,n9[28],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,nor,n3176,"n3087, n3141",2,0,0,0,6,6,6,3,0,4,0,3,1,0,0,0,0,0,4,0,3,1,0,0,0,0
g16,or,n3163,"n3154, n3138",2,0,0,0,7,7,7,4,0,5,0,3,1,0,0,0,0,0,5,0,3,1,0,0,0,0
g17,nor,n1116,"n958, n1064",2,0,0,0,8,13,13,5,0,3410,0,4025,1524,0,320,358,0,0,3410,0,4025,1524,0,320,358,0
g18,nor,n456,"n163, n102",2,0,0,0,10,19,2,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
