gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,nor,n294,"n126, n285",2,0,0,0,2,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g1,dff,n6[14],"1'b1, 1'b1, n0, n354",4,1,1,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,not,n471,n14[6],1,0,0,1,3,13,3,2,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,1,0,0
g3,nor,n352,"n13[0], n322",2,0,0,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g4,xor,n7[9],"n2[25], n2[9]",2,0,0,1,1,6,2,-1,0,2,0,24,7,0,2,0,0,0,2,0,24,7,0,2,0,0
g5,nor,n251,"n156, n209",2,0,0,0,3,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g6,or,n513,"n558, n7[14]",2,0,0,1,2,5,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g7,not,n152,n2[0],1,0,0,1,1,7,2,-1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
g8,not,n476,n14[5],1,0,0,1,3,13,3,2,0,0,0,6,2,0,1,0,0,0,0,0,6,2,0,1,0,0
g9,or,n539,"n558, n499",2,0,0,0,2,5,1,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g10,not,n385,n5[3],1,0,0,1,4,5,10,2,0,38,0,57,5,0,1,2,0,0,38,0,57,5,0,1,2,0
g11,dff,n10[12],"1'b1, 1'b1, n0, n242",4,1,1,1,4,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g12,not,n390,n406,1,0,0,0,6,8,13,4,0,41,0,57,5,0,1,2,0,0,41,0,57,5,0,1,2,0
g13,not,n101,n100,1,0,0,0,7,24,5,4,0,0,0,34,18,0,1,0,0,0,0,0,34,18,0,1,0,0
g14,buf,n4[18],n4[31],1,0,0,1,5,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,nor,n325,"n137, n307",2,0,0,0,5,3,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g16,or,n199,"n197, n9[6]",2,0,0,1,4,12,9,2,0,4,0,20,1,0,0,0,0,0,4,0,20,1,0,0,0,0
g17,nor,n247,"n164, n209",2,0,0,0,3,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g18,nor,n573,"n434, n435",2,0,0,0,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g19,not,n170,n391,1,0,0,0,7,19,2,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
g20,nor,n269,"n143, n257",2,0,0,0,5,17,3,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
g21,nor,n266,"n174, n260",2,0,0,0,5,10,7,3,0,2,0,20,1,0,0,0,0,0,2,0,20,1,0,0,0,0
g22,dff,n10[7],"1'b1, 1'b1, n0, n245",4,1,1,1,4,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g23,nor,n225,"n189, n126",2,0,0,0,2,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g24,dff,n8[0],"1'b1, 1'b1, n0, n303",4,1,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g25,not,n155,n408,1,0,0,0,6,15,4,4,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0
g26,or,n38,"n8[4], n37",2,0,0,1,4,10,15,2,0,43,0,57,5,0,1,2,0,0,43,0,57,5,0,1,2,0
g27,dff,n8[5],"1'b1, 1'b1, n0, n296",4,1,1,1,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g28,not,n51,n50,1,0,0,0,6,19,7,4,0,0,0,38,12,0,1,0,0,0,0,0,38,12,0,1,0,0
g29,nor,n114,"n10[13], n112",2,0,0,1,5,17,4,2,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0
g30,or,n364,"n329, n348",2,0,0,0,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g31,dff,n13[6],"n520, n537, n0, n569",4,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g32,nor,n81,"n10[2], n79",2,0,0,1,5,20,4,2,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0
g33,dff,n8[6],"1'b1, 1'b1, n0, n295",4,1,1,1,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g34,not,n73,n10[11],1,0,0,1,5,21,5,2,0,0,0,22,12,0,1,0,0,0,0,0,22,12,0,1,0,0
g35,nor,n435,"n416, n433",2,0,0,0,3,6,2,8,0,0,0,47,12,0,2,0,0,0,0,0,47,12,0,2,0,0
g36,not,n473,n14[4],1,0,0,1,3,13,3,2,0,0,0,10,3,0,1,0,0,0,0,0,10,3,0,1,0,0
g37,dff,n14[5],"n558, 1'b1, n0, n577",4,1,1,1,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g38,nor,n370,"n126, n334",2,0,0,0,2,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g39,nor,n440,"n417, n438",2,0,0,0,3,6,2,12,0,0,0,42,10,0,1,0,0,0,0,0,42,10,0,1,0,0
