gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,dff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,dff_gates_fanout,and_gates_prelevel,or_gates_prelevel,nand_gates_prelevel,nor_gates_prelevel,not_gates_prelevel,buf_gates_prelevel,xor_gates_prelevel,xnor_gates_prelevel,dff_gates_prelevel,and_gates_postlevel,or_gates_postlevel,nand_gates_postlevel,nor_gates_postlevel,not_gates_postlevel,buf_gates_postlevel,xor_gates_postlevel,xnor_gates_postlevel,dff_gates_postlevel
g0,buf,n12[0],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g1,buf,n12[1],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,buf,n12[2],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g3,buf,n12[3],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4,buf,n11[2],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g5,buf,n11[3],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g6,buf,n9[0],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g7,buf,n9[1],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g8,buf,n9[2],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g9,buf,n9[3],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g10,buf,n9[4],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g11,buf,n9[5],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g12,buf,n9[6],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g13,buf,n8[0],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g14,buf,n8[1],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,buf,n8[2],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g16,buf,n8[3],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g17,buf,n8[4],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g18,buf,n8[5],n8[6],1,0,0,1,11,0,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
g19,buf,n7,1'b0,1,0,1,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g20,not,n28,n29,1,0,0,0,5,5,4,5,0,13,0,56,22,0,1,12,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g21,dff,n13[0],"1'b1, 1'b1, n0, n27",4,1,1,1,9,1,0,0,0,13,0,59,22,0,1,12,1,0,76,0,168,56,0,6,23,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1
g22,nor,n27,"n1, n26",2,0,0,0,8,2,1,0,0,13,0,59,22,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
g23,dff,n6,"1'b1, 1'b1, n0, n24",4,1,1,0,12,-1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g24,nor,n26,"n13[0], n25",2,0,0,1,7,3,2,1,0,13,0,58,22,0,1,12,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
g25,dff,n8[6],"1'b1, 1'b1, n0, n13[0]",4,1,1,1,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0
g26,nor,n25,"n22, n28",2,0,0,0,6,4,3,6,0,13,0,57,22,0,1,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
g27,nor,n24,"n23, n6",2,0,0,0,11,-1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
g28,not,n23,n13[0],1,0,0,1,10,-1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
g29,not,n22,n2,1,0,0,0,-1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g30,nor,n11[1],"n17, n21",2,0,0,1,5,0,-1,5,0,20,0,94,37,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g31,nor,n11[0],"n18, n21",2,0,0,1,5,0,-1,5,0,19,0,94,37,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
g32,nor,n21,"n20, n19",2,0,0,0,4,1,-1,4,0,12,0,57,21,0,1,12,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
g33,or,n20,"n10[3], n10[2]",2,0,0,1,6,2,-1,6,0,9,0,44,17,0,1,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
g34,or,n19,"n10[1], n10[0]",2,0,0,1,3,2,-1,3,0,3,0,12,4,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g35,not,n18,n14[4],1,0,0,1,6,1,-1,7,0,7,0,36,16,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
g36,not,n17,n14[5],1,0,0,1,6,1,-1,7,0,8,0,36,16,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g37,or,n29,"n16, n15",2,0,0,0,4,6,5,4,0,13,0,56,21,0,1,12,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g38,or,n16,"n10[3], n10[2]",2,0,0,1,6,7,6,6,0,9,0,44,17,0,1,9,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
g39,or,n15,"n10[1], n10[0]",2,0,0,1,3,7,6,3,0,3,0,12,4,0,0,3,0,0,2,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g40,or,n14[5],"n53, n77",2,0,0,1,5,2,-1,6,0,8,0,36,15,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g41,xnor,n14[4],"n59, n76",2,0,0,1,5,2,-1,6,0,7,0,36,15,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
g42,nor,n77,"n52, n76",2,0,0,0,4,3,-1,5,0,6,0,33,12,0,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g43,nor,n76,"n64, n75",2,0,0,0,5,3,-1,5,0,5,0,29,11,0,0,5,0,0,1,0,2,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
g44,xnor,n10[3],"n72, n74",2,0,0,1,5,0,7,6,0,5,0,28,11,0,0,6,0,0,3,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g45,nor,n75,"n67, n74",2,0,0,0,4,4,-1,6,0,4,0,23,9,0,0,4,0,0,1,0,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g46,xor,n10[2],"n71, n69",2,0,0,1,5,0,7,5,0,3,0,16,6,0,1,3,0,0,3,0,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g47,nor,n74,"n66, n73",2,0,0,0,5,1,8,5,0,3,0,17,7,0,0,3,0,0,4,0,8,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
g48,nor,n73,"n68, n70",2,0,0,0,4,2,9,6,0,2,0,11,5,0,0,2,0,0,4,0,9,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g49,nor,n72,"n64, n67",2,0,0,0,4,1,8,5,0,2,0,11,4,0,0,2,0,0,3,0,5,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
g50,nor,n71,"n66, n68",2,0,0,0,4,1,8,5,0,2,0,11,4,0,0,2,0,0,3,0,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
g51,nor,n10[1],"n69, n65",2,0,0,1,4,0,7,5,0,2,0,11,4,0,0,2,0,0,3,0,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
g52,not,n70,n69,1,0,0,0,5,3,10,5,0,1,0,5,3,0,0,1,0,0,4,0,9,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g53,nor,n69,"n40, n60",2,0,0,0,4,1,8,4,0,1,0,5,2,0,0,1,0,0,10,0,19,6,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0
g54,nor,n68,"n44, n58",2,0,0,0,3,2,9,5,0,1,0,5,2,0,0,1,0,0,7,0,15,4,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
g55,nor,n67,"n37, n63",2,0,0,0,3,2,9,5,0,1,0,5,2,0,0,1,0,0,4,0,9,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
g56,nor,n66,"n45, n57",2,0,0,0,4,2,9,4,0,1,0,5,2,0,0,1,0,0,7,0,14,4,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
g57,nor,n65,"n39, n61",2,0,0,0,3,1,8,5,0,1,0,5,2,0,0,1,0,0,3,0,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
g58,nor,n64,"n38, n62",2,0,0,0,4,2,9,4,0,1,0,5,2,0,0,1,0,0,4,0,8,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
g59,not,n63,n62,1,0,0,0,4,3,10,4,0,1,0,3,2,0,0,1,0,0,4,0,9,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g60,nor,n62,"n49, n56",2,0,0,0,3,3,10,3,0,1,0,3,1,0,0,1,0,0,8,0,18,7,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
g61,not,n61,n60,1,0,0,0,4,2,9,4,0,1,0,3,2,0,0,1,0,0,3,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g62,nor,n60,"n51, n55",2,0,0,0,3,2,9,3,0,1,0,3,1,0,0,1,0,0,13,0,26,8,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
g63,nor,n59,"n52, n53",2,0,0,0,4,3,-1,5,0,2,0,7,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
g64,not,n58,n57,1,0,0,0,4,3,10,4,0,1,0,3,2,0,0,1,0,0,7,0,15,5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
g65,nor,n57,"n50, n54",2,0,0,0,3,3,10,3,0,1,0,3,1,0,0,1,0,0,14,0,30,9,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
g66,nor,n56,"n31, n46",2,0,0,0,2,4,11,2,0,0,0,1,0,0,0,1,0,0,8,0,19,7,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
g67,nor,n55,"n30, n46",2,0,0,0,2,3,10,2,0,0,0,1,0,0,0,1,0,0,13,0,27,8,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
