gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,buf,n5[16],1'b0,1,0,1,1,-1,0,-1,-1
g1,buf,n5[17],1'b0,1,0,1,1,-1,0,-1,-1
g2,buf,n5[18],1'b0,1,0,1,1,-1,0,-1,-1
g3,buf,n5[19],1'b0,1,0,1,1,-1,0,-1,-1
g4,buf,n5[20],1'b0,1,0,1,1,-1,0,-1,-1
g5,buf,n5[21],1'b0,1,0,1,1,-1,0,-1,-1
g6,buf,n5[22],1'b0,1,0,1,1,-1,0,-1,-1
g7,buf,n5[23],1'b0,1,0,1,1,-1,0,-1,-1
g8,buf,n5[24],1'b0,1,0,1,1,-1,0,-1,-1
g9,buf,n5[25],1'b0,1,0,1,1,-1,0,-1,-1
g10,buf,n5[26],1'b0,1,0,1,1,-1,0,-1,-1
g11,buf,n5[27],1'b0,1,0,1,1,-1,0,-1,-1
g12,buf,n5[28],1'b0,1,0,1,1,-1,0,-1,-1
g13,buf,n5[29],1'b0,1,0,1,1,-1,0,-1,-1
g14,buf,n5[30],1'b0,1,0,1,1,-1,0,-1,-1
g15,buf,n5[31],1'b0,1,0,1,1,-1,0,-1,-1
g16,buf,n5[32],1'b0,1,0,1,1,-1,0,-1,-1
g17,buf,n5[33],1'b0,1,0,1,1,-1,0,-1,-1
g18,buf,n5[34],1'b0,1,0,1,1,-1,0,-1,-1
g19,buf,n5[35],1'b0,1,0,1,1,-1,0,-1,-1
g20,buf,n5[36],1'b0,1,0,1,1,-1,0,-1,-1
g21,buf,n5[37],1'b0,1,0,1,1,-1,0,-1,-1
g22,buf,n5[38],1'b0,1,0,1,1,-1,0,-1,-1
g23,buf,n5[39],1'b0,1,0,1,1,-1,0,-1,-1
g24,buf,n5[40],1'b0,1,0,1,1,-1,0,-1,-1
g25,buf,n5[41],1'b0,1,0,1,1,-1,0,-1,-1
g26,buf,n5[42],1'b0,1,0,1,1,-1,0,-1,-1
g27,buf,n5[43],1'b0,1,0,1,1,-1,0,-1,-1
g28,buf,n5[44],1'b0,1,0,1,1,-1,0,-1,-1
g29,buf,n5[45],1'b0,1,0,1,1,-1,0,-1,-1
g30,buf,n5[46],1'b0,1,0,1,1,-1,0,-1,-1
g31,buf,n5[47],1'b0,1,0,1,1,-1,0,-1,-1
g32,buf,n5[48],1'b0,1,0,1,1,-1,0,-1,-1
g33,buf,n5[49],1'b0,1,0,1,1,-1,0,-1,-1
g34,buf,n5[50],1'b0,1,0,1,1,-1,0,-1,-1
g35,buf,n5[51],1'b0,1,0,1,1,-1,0,-1,-1
g36,buf,n5[52],1'b0,1,0,1,1,-1,0,-1,-1
g37,buf,n5[53],1'b0,1,0,1,1,-1,0,-1,-1
g38,buf,n5[54],1'b0,1,0,1,1,-1,0,-1,-1
g39,buf,n5[55],1'b0,1,0,1,1,-1,0,-1,-1
g40,buf,n5[56],1'b0,1,0,1,1,-1,0,-1,-1
g41,buf,n5[57],1'b0,1,0,1,1,-1,0,-1,-1
g42,buf,n5[58],1'b0,1,0,1,1,-1,0,-1,-1
g43,buf,n5[59],1'b0,1,0,1,1,-1,0,-1,-1
g44,buf,n5[60],1'b0,1,0,1,1,-1,0,-1,-1
g45,buf,n5[61],1'b0,1,0,1,1,-1,0,-1,-1
g46,buf,n5[62],1'b0,1,0,1,1,-1,0,-1,-1
g47,buf,n5[63],1'b0,1,0,1,1,-1,0,-1,-1
g48,dff,n5[0],"1'b1, 1'b1, n0, n1303",4,1,1,1,4,0,0,1
g49,dff,n5[1],"1'b1, 1'b1, n0, n1302",4,1,1,1,4,0,0,1
g50,dff,n5[2],"1'b1, 1'b1, n0, n1301",4,1,1,1,4,0,0,1
g51,dff,n5[3],"1'b1, 1'b1, n0, n1300",4,1,1,1,4,0,0,1
g52,dff,n5[4],"1'b1, 1'b1, n0, n1299",4,1,1,1,4,0,0,1
g53,dff,n5[5],"1'b1, 1'b1, n0, n1298",4,1,1,1,4,0,0,1
g54,dff,n5[6],"1'b1, 1'b1, n0, n1297",4,1,1,1,4,0,0,1
g55,dff,n5[7],"1'b1, 1'b1, n0, n1296",4,1,1,1,4,0,0,1
g56,dff,n5[8],"1'b1, 1'b1, n0, n1294",4,1,1,1,4,0,0,1
g57,dff,n5[9],"1'b1, 1'b1, n0, n1295",4,1,1,1,4,0,0,1
g58,dff,n5[10],"1'b1, 1'b1, n0, n1293",4,1,1,1,4,0,0,1
g59,dff,n5[11],"1'b1, 1'b1, n0, n1292",4,1,1,1,4,0,0,1
g60,dff,n5[12],"1'b1, 1'b1, n0, n1291",4,1,1,1,4,0,0,1
g61,dff,n5[13],"1'b1, 1'b1, n0, n1290",4,1,1,1,4,0,0,1
g62,dff,n5[14],"1'b1, 1'b1, n0, n1289",4,1,1,1,4,0,0,1
g63,dff,n5[15],"1'b1, 1'b1, n0, n1288",4,1,1,1,4,0,0,1
g64,dff,n3[0],"1'b1, 1'b1, n0, n1410",4,1,1,1,4,0,0,1
g65,dff,n3[1],"1'b1, 1'b1, n0, n1409",4,1,1,1,6,0,0,1
g66,dff,n3[2],"1'b1, 1'b1, n0, n1408",4,1,1,1,6,0,0,1
g67,dff,n3[3],"1'b1, 1'b1, n0, n1407",4,1,1,1,5,0,0,1
g68,dff,n3[4],"1'b1, 1'b1, n0, n1406",4,1,1,1,6,0,0,1
g69,dff,n3[5],"1'b1, 1'b1, n0, n1405",4,1,1,1,6,0,0,1
g70,dff,n3[6],"1'b1, 1'b1, n0, n1403",4,1,1,1,6,0,0,1
g71,dff,n3[7],"1'b1, 1'b1, n0, n1404",4,1,1,1,5,0,0,1
g72,dff,n3[8],"1'b1, 1'b1, n0, n1402",4,1,1,1,6,0,0,1
g73,dff,n3[9],"1'b1, 1'b1, n0, n1401",4,1,1,1,6,0,0,1
g74,dff,n3[10],"1'b1, 1'b1, n0, n1400",4,1,1,1,4,0,0,1
g75,dff,n3[11],"1'b1, 1'b1, n0, n1413",4,1,1,1,6,0,0,1
g76,dff,n3[12],"1'b1, 1'b1, n0, n1399",4,1,1,1,6,0,0,1
g77,dff,n3[13],"1'b1, 1'b1, n0, n1414",4,1,1,1,6,0,0,1
g78,dff,n3[14],"1'b1, 1'b1, n0, n1412",4,1,1,1,6,0,0,1
g79,dff,n3[15],"1'b1, 1'b1, n0, n1411",4,1,1,1,6,0,0,1
g80,dff,n3[16],"1'b1, 1'b1, n0, n1149",4,1,1,1,4,0,0,1
g81,dff,n3[17],"1'b1, 1'b1, n0, n1148",4,1,1,1,4,0,0,1
g82,dff,n3[18],"1'b1, 1'b1, n0, n1147",4,1,1,1,4,0,0,1
g83,dff,n3[19],"1'b1, 1'b1, n0, n1146",4,1,1,1,4,0,0,1
g84,dff,n3[20],"1'b1, 1'b1, n0, n1145",4,1,1,1,4,0,0,1
g85,dff,n3[21],"1'b1, 1'b1, n0, n1144",4,1,1,1,4,0,0,1
g86,dff,n3[22],"1'b1, 1'b1, n0, n1143",4,1,1,1,4,0,0,1
g87,dff,n3[23],"1'b1, 1'b1, n0, n1142",4,1,1,1,4,0,0,1
g88,dff,n3[24],"1'b1, 1'b1, n0, n1141",4,1,1,1,4,0,0,1
g89,dff,n3[25],"1'b1, 1'b1, n0, n1140",4,1,1,1,4,0,0,1
g90,dff,n3[26],"1'b1, 1'b1, n0, n1139",4,1,1,1,4,0,0,1
g91,dff,n3[27],"1'b1, 1'b1, n0, n1138",4,1,1,1,4,0,0,1
g92,dff,n3[28],"1'b1, 1'b1, n0, n1137",4,1,1,1,4,0,0,1
