gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,buf,n13[6],n8[0],1,0,0,1,11,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g1,buf,n13[7],n8[1],1,0,0,1,10,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,buf,n12[7],1'b0,1,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g3,dff,n7[0],"1'b1, 1'b1, n0, n249",4,1,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4,dff,n7[1],"1'b1, 1'b1, n0, n248",4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g5,dff,n7[2],"1'b1, 1'b1, n0, n247",4,1,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g6,dff,n6[1],"1'b1, 1'b1, n0, n244",4,1,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g7,dff,n6[2],"1'b1, 1'b1, n0, n246",4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g8,dff,n6[0],"1'b1, 1'b1, n0, n245",4,1,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g9,or,n249,"n117, n245",2,0,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g10,or,n248,"n115, n244",2,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g11,or,n247,"n116, n246",2,0,0,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
g12,nor,n246,"n65, n242",2,0,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g13,nor,n245,"n65, n241",2,0,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g14,nor,n244,"n65, n243",2,0,0,0,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g15,nor,n243,"n186, n238",2,0,0,0,4,2,2,5,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0
g16,nor,n242,"n236, n240",2,0,0,0,5,2,2,4,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0
g17,nor,n241,"n237, n239",2,0,0,0,5,2,2,4,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0
g18,dff,n15,"1'b1, 1'b1, n0, n234",4,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g19,dff,n14,"1'b1, 1'b1, n0, n233",4,1,1,0,13,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g20,nor,n240,"n196, n59",2,0,0,0,4,3,3,5,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0
g21,nor,n239,"n194, n59",2,0,0,0,4,3,3,5,0,1,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0
