gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,dff,n10[2],"n1, 1'b1, n0, n25[2]",4,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g1,not,n29,n12[2],1,0,0,1,2,5,5,2,0,39,0,1091,270,0,69,5,0,0,0,0,0,1,0,0,0,0
g2,nor,n86,"n11[10], n53",2,0,0,1,2,11,11,2,0,1,0,50,11,0,3,0,0,0,0,0,1,1,0,0,1,0
g3,not,n269,n13[2],1,0,0,1,3,3,3,3,0,0,0,38,10,0,1,0,0,0,2,0,10,17,0,2,10,0
g4,nor,n165,"n16[4], n137",2,0,0,1,2,5,5,2,0,0,0,46,11,0,4,0,0,0,0,0,3,4,0,1,3,0
g5,xor,n13[2],"n15[2], n239",2,0,0,1,2,3,3,2,0,0,0,40,10,0,2,0,0,0,2,0,10,16,0,2,10,0
g6,or,n225,"n185, n208",2,0,0,0,3,8,8,3,0,5,0,93,23,0,2,0,0,0,2,0,6,9,0,2,7,0
g7,nor,n25[7],"n288, n289",2,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,122,0,497,730,0,118,534,0
g8,not,n259,n13[7],1,0,0,1,5,3,3,5,0,0,0,18,5,0,1,0,0,0,5,0,21,36,0,6,24,0
g9,not,n241,n240,1,0,0,0,6,8,8,6,0,4,0,93,24,0,2,0,0,0,2,0,8,17,0,1,11,0
g10,not,n255,n12[8],1,0,0,1,2,6,6,2,0,1,0,17,5,0,2,0,0,0,0,0,0,1,0,0,0,0
g11,not,n63,n64,1,0,0,0,3,5,5,3,0,23,0,483,119,0,25,6,0,0,0,0,0,1,0,0,1,0
g12,nor,n273,"n13[2], n271",2,0,0,1,3,2,2,3,0,0,0,2,0,0,0,0,0,0,42,0,168,252,0,37,184,0
g13,not,n254,n11[3],1,0,0,1,2,9,9,2,0,19,0,489,122,0,20,2,0,0,0,0,0,1,0,0,0,0
g14,buf,n10[9],1'b0,1,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g15,nor,n279,"n13[4], n277",2,0,0,1,3,2,2,3,0,0,0,2,0,0,0,0,0,0,45,0,187,281,0,42,200,0
g16,xnor,n75,"n20[0], n21[0]",2,0,0,1,2,7,7,2,0,35,0,752,185,0,38,8,0,0,0,0,0,0,0,0,1,0
g17,dff,n11[11],"n1, 1'b1, n0, n3[11]",4,1,1,1,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g18,nor,n229,"n165, n219",2,0,0,0,3,4,4,3,0,0,0,45,11,0,4,0,0,0,1,0,7,9,0,2,6,0
g19,not,n32,n12[4],1,0,0,1,2,6,6,2,0,2,0,93,23,0,6,0,0,0,0,0,0,1,0,0,0,0
g20,xnor,n100,"n63, n11[6]",2,0,0,1,2,11,11,2,0,13,0,282,71,0,6,1,0,0,0,0,0,1,0,0,2,0
g21,not,n135,n134,1,0,0,0,4,7,7,4,0,3,0,109,27,0,10,0,0,0,0,0,2,4,0,1,3,0
g22,nor,n288,"n13[7], n286",2,0,0,1,5,2,2,5,0,0,0,2,0,0,0,0,0,0,61,0,248,364,0,59,267,0
