gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff,and_gates_fanin,or_gates_fanin,nand_gates_fanin,nor_gates_fanin,not_gates_fanin,buf_gates_fanin,xor_gates_fanin,xnor_gates_fanin,diff_gates_fanin,and_gates_fanout,or_gates_fanout,nand_gates_fanout,nor_gates_fanout,not_gates_fanout,buf_gates_fanout,xor_gates_fanout,xnor_gates_fanout,diff_gates_fanout
g0,or,n322,"n240, n242",2,0,0,0,5,14,9,3,0,8,0,11,3,0,1,0,0,0,8,0,11,3,0,1,0,0
g1,buf,n3[31],n3[63],1,0,0,1,7,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g2,not,n110,n109,1,0,0,0,6,16,7,4,0,0,0,58,18,0,1,0,0,0,0,0,58,18,0,1,0,0
g3,dff,n8[5],"1'b1, 1'b1, n0, n357",4,1,1,1,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4,nor,n156,"n133, n154",2,0,0,0,6,24,4,3,0,0,0,58,29,0,1,0,0,0,0,0,58,29,0,1,0,0
g5,not,n125,n124,1,0,0,0,6,13,7,4,0,0,0,8,3,0,1,0,0,0,0,0,8,3,0,1,0,0
g6,not,n79,n15[7],1,0,0,1,4,16,7,2,0,0,0,78,24,0,1,0,0,0,0,0,78,24,0,1,0,0
g7,not,n225,n486,1,0,0,0,5,10,4,3,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0
g8,nor,n265,"n233, n14[0]",2,0,0,1,4,12,9,2,0,2,0,6,0,0,0,1,0,0,2,0,6,0,0,0,1,0
g9,not,n212,n496,1,0,0,0,6,14,4,4,0,0,0,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0
g10,nor,n440,"n236, n435",2,0,0,0,5,11,2,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
g11,not,n17,n15[6],1,0,0,1,4,20,15,2,0,11,0,12,5,0,1,0,0,0,11,0,12,5,0,1,0,0
g12,or,n65,"n58, n60",2,0,0,0,5,7,8,3,0,12,0,19,4,0,4,1,0,0,12,0,19,4,0,4,1,0
g13,nor,n422,"n192, n413",2,0,0,0,2,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
