gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,nor,n302,"n11[0], n11[1]",2,0,0,1,6,12,3,2
g1,nor,n101,"n78, n99",2,0,0,0,5,17,6,3
g2,dff,n15[15],"1'b1, 1'b1, n0, n387",4,1,1,1,3,7,0,1
g3,or,n23,"n15[4], n15[3]",2,0,0,1,4,22,16,2
g4,or,n328,"n246, n252",2,0,0,0,5,14,8,3
g5,dff,n16[7],"1'b1, 1'b1, n0, n572",4,1,1,1,2,4,0,1
g6,not,n538,n17[15],1,0,0,1,3,25,2,2
g7,xnor,n333,"n9[0], n16[7]",2,0,0,1,3,6,2,2
g8,nor,n565,"n538, n1",2,0,0,0,1,24,1,0
g9,nor,n360,"n321, n287",2,0,0,0,6,11,2,4
g10,or,n48,"n41, n42",2,0,0,0,6,18,12,3
g11,nor,n344,"n318, n298",2,0,0,0,6,11,2,4
g12,not,n117,n116,1,0,0,0,6,16,7,4
g13,dff,n11[2],"1'b1, 1'b1, n0, n467",4,1,1,1,6,10,0,1
g14,buf,n3[30],n3[31],1,0,0,1,7,0,-1,3
g15,not,n158,n157,1,0,0,0,7,26,5,4
g16,buf,n3[61],n3[63],1,0,0,1,7,0,-1,3
g17,not,n239,n519,1,0,0,0,6,20,4,4
g18,dff,n6[24],"1'b1, 1'b1, n0, n477",4,1,1,1,5,1,0,1
g19,nor,n296,"n241, n498",2,0,0,0,6,14,3,4
g20,xor,n572,"n17[0], n2[0]",2,0,0,1,1,5,1,0
g21,nor,n112,"n15[9], n110",2,0,0,1,4,16,6,2
g22,nor,n32,"n20, n31",2,0,0,0,5,19,13,3
g23,dff,n14[0],"1'b1, 1'b1, n0, n281",4,1,1,1,3,5,0,1
g24,xnor,n3[7],"n491, n6[0]",2,0,0,1,6,0,-1,2
g25,nor,n466,"n203, n453",2,0,0,0,3,3,2,3
g26,nor,n306,"n250, n193",2,0,0,0,2,10,1,0
g27,dff,n10[9],"1'b1, 1'b1, n0, n365",4,1,1,1,4,22,0,1
g28,dff,n10[2],"1'b1, 1'b1, n0, n363",4,1,1,1,4,25,0,1
g29,dff,n10[15],"1'b1, 1'b1, n0, n346",4,1,1,1,4,18,0,1
g30,nor,n162,"n10[7], n160",2,0,0,1,5,25,4,2
g31,not,n134,n10[5],1,0,0,1,5,27,5,2
g32,or,n41,"n10[13], n10[12]",2,0,0,1,5,19,13,2
g33,or,n553,"n17[5], n1",2,0,0,1,1,7,1,0
g34,not,n39,n10[7],1,0,0,1,5,20,14,2
g35,nor,n301,"n193, n11[0]",2,0,0,1,2,5,1,0
g36,not,n497,n520,1,0,0,0,7,15,9,4
g37,or,n472,"n445, n462",2,0,0,0,4,2,1,0
g38,or,n26,"n15[11], n15[10]",2,0,0,1,4,21,15,2
g39,not,n204,n16[55],1,0,0,1,3,4,3,2
g40,nor,n157,"n134, n155",2,0,0,0,6,26,4,3
g41,nor,n377,"n233, n332",2,0,0,0,3,21,1,0
g42,or,n332,"n193, n197",2,0,0,0,2,6,2,-1
g43,nor,n562,"n539, n1",2,0,0,0,1,7,1,0
g44,buf,n3[5],n3[7],1,0,0,1,7,0,-1,3
g45,nor,n465,"n201, n453",2,0,0,0,3,3,2,3
g46,nor,n191,"n12[2], n189",2,0,0,1,4,22,6,2
g47,not,n262,n15[8],1,0,0,1,4,14,4,2
g48,nor,n174,"n10[11], n172",2,0,0,1,5,24,4,2
g49,or,n419,"n242, n380",2,0,0,0,5,12,6,3
