gate_name,gate_type,output,inputs,input_count,is_sequential,is_constant_input,has_bus_signal,level_to_input,level_to_output,level_to_output_ff,level_to_input_ff
g0,not,n7377,n7379,1,0,0,0,4,5,-1,-1
g1,not,n7376,n7382,1,0,0,0,4,5,-1,-1
g2,not,n7375,n7698,1,0,0,0,5,6,-1,-1
g3,not,n7374,n7731,1,0,0,0,4,5,-1,-1
g4,not,n7373,n7730,1,0,0,0,4,3,-1,-1
g5,not,n7372,n7396,1,0,0,0,4,4,-1,-1
g6,not,n7371,n7381,1,0,0,0,4,3,-1,-1
g7,not,n7370,n7729,1,0,0,0,4,5,-1,-1
g8,not,n7369,n7394,1,0,0,0,4,4,-1,-1
g9,not,n7368,n7390,1,0,0,0,4,4,-1,-1
g10,not,n7367,n7728,1,0,0,0,4,6,-1,-1
g11,not,n7366,n7707,1,0,0,0,5,5,-1,-1
g12,not,n7365,n7380,1,0,0,0,4,5,-1,-1
g13,not,n7364,n7727,1,0,0,0,4,7,-1,-1
g14,not,n7363,n7389,1,0,0,0,4,5,-1,-1
g15,not,n7362,n7726,1,0,0,0,4,5,-1,-1
g16,not,n7361,n7699,1,0,0,0,5,5,-1,-1
g17,not,n7360,n7725,1,0,0,0,5,5,-1,-1
g18,not,n7359,n7724,1,0,0,0,5,6,-1,-1
g19,not,n7358,n7378,1,0,0,0,4,5,-1,-1
g20,not,n7357,n7723,1,0,0,0,5,5,-1,-1
g21,not,n7356,n7393,1,0,0,0,4,4,-1,-1
g22,not,n7355,n7388,1,0,0,0,4,4,-1,-1
g23,not,n7354,n7708,1,0,0,0,5,4,-1,-1
g24,not,n7353,n7722,1,0,0,0,5,5,-1,-1
g25,not,n7352,n7742,1,0,0,0,4,5,-1,-1
g26,not,n7351,n7721,1,0,0,0,5,5,-1,-1
g27,not,n7350,n7720,1,0,0,0,5,5,-1,-1
g28,not,n7349,n7741,1,0,0,0,4,4,-1,-1
g29,not,n7348,n7719,1,0,0,0,5,6,-1,-1
g30,not,n7347,n7387,1,0,0,0,4,4,-1,-1
g31,not,n7346,n7718,1,0,0,0,5,6,-1,-1
g32,not,n7345,n7709,1,0,0,0,5,5,-1,-1
g33,not,n7344,n7740,1,0,0,0,4,5,-1,-1
g34,not,n7343,n7716,1,0,0,0,5,3,-1,-1
g35,not,n7342,n7395,1,0,0,0,4,5,-1,-1
g36,not,n7341,n7739,1,0,0,0,4,5,-1,-1
g37,not,n7340,n7715,1,0,0,0,5,4,-1,-1
g38,not,n7339,n7392,1,0,0,0,4,3,-1,-1
g39,not,n7338,n7386,1,0,0,0,4,5,-1,-1
g40,not,n7337,n7714,1,0,0,0,5,3,-1,-1
g41,not,n7336,n7738,1,0,0,0,4,5,-1,-1
g42,not,n7335,n7713,1,0,0,0,5,5,-1,-1
g43,not,n7334,n7737,1,0,0,0,4,5,-1,-1
g44,not,n7333,n7711,1,0,0,0,5,6,-1,-1
g45,not,n7332,n7385,1,0,0,0,4,4,-1,-1
g46,not,n7331,n7710,1,0,0,0,5,5,-1,-1
g47,not,n7330,n7736,1,0,0,0,4,4,-1,-1
g48,not,n7329,n7717,1,0,0,0,5,3,-1,-1
g49,not,n7328,n7712,1,0,0,0,5,5,-1,-1
g50,not,n7327,n7735,1,0,0,0,4,4,-1,-1
g51,not,n7326,n7391,1,0,0,0,4,3,-1,-1
g52,not,n7325,n7384,1,0,0,0,4,5,-1,-1
g53,not,n7324,n7706,1,0,0,0,5,4,-1,-1
g54,not,n7323,n7734,1,0,0,0,4,5,-1,-1
